N°Ins,Année,Code_UE,UE,Coef_UE,credit_UE,AnnéEtude,type_UE,Moy_UE,credit_obtenue,Aquit,An_d_obtent_UE
14010896694,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2011
14010696402,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,0.00,0.0,false,2011
14010696402,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,0.00,0.0,false,2011
14010696402,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,0.00,0.0,false,2011
14010696402,1,EDP,EU Découverte (P),1.2,3.0,1MGI202,Découverte,0.00,0.0,false,2011
14010696402,1,UET,UE Transversales,1,2.5,1MGI202,Transversal,0.00,0.0,false,2011
14010696434,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,5.95,0.0,false,2011
14010696434,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,7.41,3.5,false,2011
14010896694,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2011
14010896694,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2011
14010896694,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2011
14010896715,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2011
14010896715,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2011
14010896715,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2011
14010896715,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2011
14010896715,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2011
14010896715,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2011
14010696481,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,8.93,3.0,false,2011
14010696481,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,10.00,2.5,true,2011
14010896733,1,ANG,Anglais Premier Niveau,1,2.5,1MGI191,Transversal,16.00,2.5,true,2011
14010896733,1,BSE,BD_Dat_SW_EL,1,2.5,1MGI191,Découverte,13.00,2.5,true,2011
14010896733,1,LCO,Logique et Connaissance (O),3,6.5,1MGI191,Fondamental,11.47,6.5,true,2011
14010896733,1,MVS,Modélisation Vérification Syst,3.5,9.0,1MGI191,Méthodologique,10.83,9.0,true,2011
14010896733,1,ROP,Recherche Opérationnelle(O),4,9.5,1MGI191,Fondamental,10.37,9.5,true,2011
14010896757,2,UEIN1,UE Fondamental -INF1,7,14.0,2MIAS173,Fondamental,9.28,5.0,false,2011
14010896757,2,UEIN2,UE Fondamental-INF2,6,12.0,2MIAS173,Fondamental,9.94,8.0,false,2011
14010896757,2,UEIN3,UE Méthodologique-INF3,2,4.0,2MIAS173,Méthodologie,11.50,4.0,true,2011
14010896757,2,UEIN4,UE Fondamental-INF4,8,16.0,2MIAS174,Fondamental,11.96,16.0,true,2011
14010896757,2,UEIN5,UE Fondamental-INF5,6,12.0,2MIAS174,Fondamental,10.17,12.0,true,2011
14010896757,2,UEIN6,UE Méthodologique-INF6,1,2.0,2MIAS174,Méthodologique,14.00,2.0,true,2010
14010796545,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,10.49,6.5,true,2011
14010796545,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,10.01,9.5,true,2011
14010796545,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,9.80,6.5,false,2011
14010796545,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,10.50,2.5,true,2011
14010796560,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,0.65,0.0,false,2011
14010896733,1,ANG2,Anglais,1,2.5,1MGI192,Transversal,16.00,2.5,true,2011
14010896787,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,11.54,6.5,true,2011
14010896787,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,9.96,6.0,false,2011
14010896787,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,10.73,9.0,true,2011
14011097122,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,11.50,6.0,true,2010
14011097122,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,11.17,6.0,true,2010
14011097122,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,7.49,4.0,false,2010
14011097122,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,10.88,12.0,true,2010
14011097124,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,13.79,9.0,true,2010
14011097124,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,11.57,15.0,true,2010
14011097124,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,13.50,6.0,true,2010
14011097124,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,7.33,2.0,false,2010
14011097124,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,11.53,12.0,true,2010
14011097124,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,11.92,12.0,true,2010
14011097126,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,3.17,0.0,false,2011
14011097126,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,3.28,0.0,false,2011
14011097126,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,11.00,6.0,true,2010
14011097126,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,10.50,6.0,true,2010
14011097126,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,3.74,0.0,false,2011
14011097126,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,2.99,3.0,false,2011
14010896821,2,UEIN1,UE Fondamental -INF1,7,14.0,2MIAS173,Fondamental,9.52,10.0,false,2011
14010896821,2,UEIN2,UE Fondamental-INF2,6,12.0,2MIAS173,Fondamental,10.89,12.0,true,2010
14010896821,2,UEIN3,UE Méthodologique-INF3,2,4.0,2MIAS173,Méthodologie,10.25,4.0,true,2011
14010896821,2,UEIN4,UE Fondamental-INF4,8,16.0,2MIAS174,Fondamental,10.62,16.0,true,2011
14010896821,2,UEIN5,UE Fondamental-INF5,6,12.0,2MIAS174,Fondamental,10.73,12.0,true,2010
14010896821,2,UEIN6,UE Méthodologique-INF6,1,2.0,2MIAS174,Méthodologique,15.00,2.0,true,2010
14010896826,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2011
14010896826,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2011
14010896826,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2011
14010796560,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,0.00,0.0,false,2011
14010796560,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,0.00,0.0,false,2011
14010796560,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,0.00,0.0,false,2011
14010796560,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,0.00,0.0,false,2011
14010796560,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,0.00,0.0,false,2011
14010896787,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,11.50,2.5,true,2011
14010896787,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,10.00,2.5,true,2011
14010696449,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,8.23,6.0,false,2008
14010696449,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,8.99,3.0,false,2008
14010696449,1,UEM ,Unite ensgnement methodo,3,6.0,1MIAS171,Transversal,14.00,6.0,true,2007
14010696449,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,6.94,3.0,false,2011
14010696449,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,10.77,12.0,true,2009
14010696449,1,UED23,Unite decouverte 23 ,1,4.0,1MIAS172,Découverte,10.17,6.0,true,2007
14010896826,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2011
14010896826,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2011
14010896826,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2011
14010896836,2,UEIN1,UE Fondamental -INF1,7,14.0,2MIAS173,Fondamental,9.94,10.0,false,2011
14010696481,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,16.00,2.5,true,2011
14010696481,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,8.80,4.5,false,2011
14010696481,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,8.75,0.0,false,2011
14010696481,1,EDP,EU Découverte (P),1.2,3.0,1MGI202,Découverte,11.60,3.0,true,2011
14010696481,1,UET,UE Transversales,1,2.5,1MGI202,Transversal,16.00,2.5,true,2011
14010696498,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,11.18,6.5,true,2011
14010796588,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,10.13,15.0,true,2009
14010796588,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2011
14010796588,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,14.20,2.0,true,2009
14010896836,2,UEIN2,UE Fondamental-INF2,6,12.0,2MIAS173,Fondamental,10.73,12.0,true,2011
14010896836,2,UEIN3,UE Méthodologique-INF3,2,4.0,2MIAS173,Méthodologie,10.00,4.0,true,2010
14010896836,2,UEIN4,UE Fondamental-INF4,8,16.0,2MIAS174,Fondamental,9.99,11.0,false,2010
14010896836,2,UEIN5,UE Fondamental-INF5,6,12.0,2MIAS174,Fondamental,9.68,4.0,false,2010
14010896836,2,UEIN6,UE Méthodologique-INF6,1,2.0,2MIAS174,Méthodologique,15.00,2.0,true,2010
14010896850,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2011
14010896850,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2011
14010696498,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,9.95,6.0,false,2011
14010696498,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,6.70,3.0,false,2011
14010696498,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,10.00,2.5,true,2011
14010696498,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,18.00,2.5,true,2011
14010696498,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,10.81,13.0,true,2011
14010696498,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,7.18,0.0,false,2011
14010796588,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2011
14010796588,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,3.60,4.0,false,2011
14010696498,1,EDP,EU Découverte (P),1.2,3.0,1MGI202,Découverte,13.50,3.0,true,2011
14010696498,1,UET,UE Transversales,1,2.5,1MGI202,Transversal,18.00,2.5,true,2011
14010696505,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,7.97,0.0,false,2011
14010696505,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,7.54,3.5,false,2011
14010696505,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,7.11,3.0,false,2011
14010696505,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,6.00,0.0,false,2011
14010696505,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,10.00,2.5,true,2011
14010696505,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,10.15,13.0,true,2011
14010696505,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,6.77,0.0,false,2011
14010696505,1,EDP,EU Découverte (P),1.2,3.0,1MGI202,Découverte,13.80,3.0,true,2011
14010696505,1,UET,UE Transversales,1,2.5,1MGI202,Transversal,10.00,2.5,true,2011
14010796545,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,10.00,2.5,true,2011
14010796545,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,11.19,13.0,true,2011
14010796545,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,10.16,11.5,true,2011
14010796595,2,UEIN1,UE Fondamental -INF1,7,14.0,2MIAS173,Fondamental,3.95,4.0,false,2010
14010796595,2,UEIN2,UE Fondamental-INF2,6,12.0,2MIAS173,Fondamental,4.07,4.0,false,2010
14010796595,2,UEIN3,UE Méthodologique-INF3,2,4.0,2MIAS173,Méthodologie,10.00,4.0,true,2008
14010796595,2,UEIN4,UE Fondamental-INF4,8,16.0,2MIAS174,Fondamental,3.26,5.0,false,2010
14010796595,2,UEIN5,UE Fondamental-INF5,6,12.0,2MIAS174,Fondamental,0.00,0.0,false,2010
14010796595,2,UEIN6,UE Méthodologique-INF6,1,2.0,2MIAS174,Méthodologique,10.00,2.0,true,2008
14010796595,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,6.01,6.0,false,2010
14010796595,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,8.15,6.0,false,2010
14010796595,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,10.00,6.0,true,2007
14010796595,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,5.65,3.0,false,2010
14010796595,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,11.50,6.0,true,2007
14010796595,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,3.50,4.0,false,2010
14011097130,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,11.31,9.0,true,2010
14011097130,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,10.85,15.0,true,2010
14011097130,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,13.50,6.0,true,2010
14011097130,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,10.17,6.0,true,2010
14011097130,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,10.15,12.0,true,2010
14011097130,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,10.86,12.0,true,2010
14011097130,2,UEIN1,UE Fondamental -INF1,7,14.0,2MIAS173,Fondamental,12.96,14.0,true,2011
14011097130,2,UEIN2,UE Fondamental-INF2,6,12.0,2MIAS173,Fondamental,14.01,12.0,true,2011
14011097130,2,UEIN3,UE Méthodologique-INF3,2,4.0,2MIAS173,Méthodologie,14.00,4.0,true,2011
14011097130,2,UEIN4,UE Fondamental-INF4,8,16.0,2MIAS174,Fondamental,12.47,16.0,true,2011
14011097130,2,UEIN5,UE Fondamental-INF5,6,12.0,2MIAS174,Fondamental,10.78,12.0,true,2011
14011097130,2,UEIN6,UE Méthodologique-INF6,1,2.0,2MIAS174,Méthodologique,11.50,2.0,true,2011
14011097136,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2011
14011097136,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2011
14011097136,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2011
14011097136,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2011
14011097136,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2011
14011097134,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,8.47,3.0,false,2011
14011097134,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,6.56,0.0,false,2011
14011097134,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,11.00,6.0,true,2011
14011097134,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,7.67,4.0,false,2011
14011097134,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,6.61,0.0,false,2011
14011097134,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,5.93,0.0,false,2011
14011097136,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,9.80,6.0,false,2011
14011097136,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,10.21,15.0,true,2010
14011097136,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,10.50,6.0,true,2010
14011097136,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,10.67,6.0,true,2010
14011097136,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,10.84,12.0,true,2011
14011097136,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,8.30,6.0,false,2011
14011097138,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,10.03,9.0,true,2010
14011097138,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,10.50,15.0,true,2011
14011097136,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2011
14011097140,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2011
14010796588,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2011
14010896850,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2011
14010796545,1,EDP,EU Découverte (P),1.2,3.0,1MGI202,Découverte,12.55,3.0,true,2011
14010796545,1,UET,UE Transversales,1,2.5,1MGI202,Transversal,10.00,2.5,true,2011
14010796560,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,0.00,0.0,false,2011
14010796560,1,EDP,EU Découverte (P),1.2,3.0,1MGI202,Découverte,0.00,0.0,false,2011
14010796560,1,UET,UE Transversales,1,2.5,1MGI202,Transversal,0.00,0.0,false,2011
14010796567,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,12.19,6.5,true,2011
14010796567,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,10.85,9.5,true,2011
14010796594,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,9.07,3.0,false,2011
14010796594,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,10.18,9.5,true,2011
14010796594,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,10.14,9.0,true,2011
14010796594,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,12.00,2.5,true,2011
14010796594,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,10.00,2.5,true,2011
14010796594,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,12.31,13.0,true,2011
14010796594,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,10.17,11.5,true,2011
14010796607,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2011
14010796607,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2011
14010896850,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2011
14010896850,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2011
14010896850,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2011
14010796567,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,8.16,3.0,false,2011
14010796567,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,12.00,2.5,true,2011
14010796567,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,14.50,2.5,true,2011
14010796567,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,13.10,13.0,true,2011
14010796567,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,7.91,5.0,false,2011
14010796643,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,15.50,2.5,true,2011
14010796643,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,11.96,13.0,true,2011
14010796643,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,9.81,5.0,false,2011
14010796643,1,EDP,EU Découverte (P),1.2,3.0,1MGI202,Découverte,14.80,3.0,true,2011
14010896862,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,8.57,3.0,false,2011
14010896862,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,10.02,9.5,true,2011
14011097138,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,11.13,6.0,true,2010
14011097138,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,11.67,6.0,true,2011
14011097138,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,11.90,12.0,true,2011
14011097138,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,9.86,6.0,false,2011
14011097140,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,12.25,9.0,true,2010
14011097140,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,9.58,9.0,false,2010
14011097140,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,11.75,6.0,true,2010
14011097140,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,6.83,2.0,false,2010
14011097140,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,9.97,4.0,false,2010
14011097140,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,9.62,6.0,false,2010
14011097142,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,10.35,9.0,true,2010
14011097142,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,8.60,6.0,false,2011
14011097142,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,10.25,6.0,true,2010
14011097142,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,8.00,4.0,false,2011
14011097142,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,10.27,12.0,true,2010
14011097142,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,7.97,3.0,false,2011
14010796607,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,10.60,2.0,true,2009
14010796607,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2011
14010796607,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2011
14010796607,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2011
14010896860,3,UE13,Unité Enseignement INF 07,3,18.0,3MIAS175,Fondamental,6.31,0.0,false,2011
14010896860,3,UE14,Unité Enseignement INF 08,2,12.0,3MIAS175,Fondamental,8.47,4.0,false,2011
14010896860,3,UE15,Unité Fondamentale INF9,1,10.0,3MIAS176,Fondamental,5.45,0.0,false,2011
14010896860,3,UE16,Projet PFE,2,20.0,3MIAS176,Fondamental,15.00,20.0,true,2011
14010996868,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2011
14010796643,1,UET,UE Transversales,1,2.5,1MGI202,Transversal,15.50,2.5,true,2011
14010796644,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,10.70,6.5,true,2011
14010796644,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,9.35,6.0,false,2011
14010796644,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,10.89,9.0,true,2011
14010796644,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,13.00,2.5,true,2011
14010896862,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,9.10,3.0,false,2011
14010896862,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,13.00,2.5,true,2011
14010996868,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2011
14010996868,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2011
14010996868,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2011
14010996868,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2011
14010996868,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2011
